label,effective_rank,rankme,cos_sim_mean,s2_to_s1_ratio,sv_gini,dead_dims_std001,lido_eff_dim,collapse_score,intrinsic_dim_twonn,power_law_alpha,life_strong,life_moderate
IJEPA_old_full,65.94121551513672,3.662393808364868,0.542357325553894,0.7506696581840515,0.8199597491175572,0,1.7625939846038818,0.42406976670026775,-1,0.9558243261855891,189,512
IJEPA_small,65.94121551513672,3.662393808364868,0.5323804616928101,0.7506696581840515,0.8199597491175572,0,1.7625939846038818,0.4210767075419426,-1,0.9558243261855891,189,512
IJEPA_v2_0200,2.225229024887085,1.0180788040161133,0.9977215528488159,0.04388630390167236,0.9788643854811104,0,1.0022778511047363,0.7541263168212027,-1,2.0422103507701723,184,510
IJEPA_v2_0400,6.975802898406982,1.1302943229675293,0.9821121692657471,0.08991925418376923,0.9563684603482949,0,1.0178688764572144,0.7006270120851694,-1,1.644606738783286,512,512
IJEPA_v2_0600,12.69486141204834,1.1757811307907104,0.9772217273712158,0.10417964309453964,0.932172913274766,0,1.0237390995025635,0.681548479758203,-1,1.1839108088395767,500,512
IJEPA_v2_0800,54.08203887939453,1.5188918113708496,0.9402205348014832,0.14084435999393463,0.8320955201930489,0,1.0634404420852661,0.609533105790615,-1,0.9015702143355114,512,512
IJEPA_v2_1000,104.05924224853516,2.553584575653076,0.8503319025039673,0.22673210501670837,0.7679153014635023,0,1.1750060319900513,0.49412735849618905,-1,0.872081520421918,512,512
IJEPA_v2_1200,144.43075561523438,3.6051371097564697,0.7924886345863342,0.23479197919368744,0.7137895339499392,0,1.25706148147583,0.45311919450759885,-1,0.8375554904673529,512,512
IJEPA_v2_1400,171.9114990234375,4.396272659301758,0.7616175413131714,0.2642352283000946,0.6753133450289021,0,1.3115589618682861,0.427755868434906,-1,0.8224072583269373,512,512
IJEPA_v2_1600,147.4926300048828,2.7462244033813477,0.8553392887115479,0.1427171379327774,0.6981181693043597,0,1.1671491861343384,0.5274631857872009,-1,0.7643930028716339,512,512
IJEPA_v2_1800,240.83804321289062,9.00861930847168,0.6651965975761414,0.2031291276216507,0.5933925693876816,0,1.499253273010254,0.3584429383277893,-1,0.6667111769702105,512,512
IJEPA_v2_2000,297.2732238769531,22.283559799194336,0.5056219100952148,0.25912681221961975,0.5205782997934226,0,1.9662933349609375,0.27750304341316223,-1,0.5951929073388381,512,512
Original_full,3.9320642948150635,1.1247133016586304,0.9773886799812317,0.14305713772773743,0.9663341488347135,0,1.022789716720581,0.6478555223438889,-1,1.859196736210326,191,467
Original_small,2.2241408824920654,1.0099431276321411,0.9988906383514404,0.02976188063621521,0.9694849401444414,11,1.0011379718780518,0.7728989783208817,-1,1.830624418158041,300,510
Original_v2_0200,2.5604476928710938,1.0115123987197876,0.9986297488212585,0.03224373236298561,0.9602741225188332,3,1.001333475112915,0.7670168049633503,-1,1.7526342773445103,210,508
Original_v2_0400,3.0362789630889893,1.025554895401001,0.9966924786567688,0.048262882977724075,0.9606555043062684,0,1.0032321214675903,0.7489657909143717,-1,1.7806158114554431,194,509
VICReg_full,2.832770347595215,1.0196645259857178,0.9977673888206482,0.03220096230506897,0.9727690899680609,0,1.0022352933883667,0.7654694279655814,-1,1.7883728851553655,266,512
VICReg_small,5.273609638214111,1.0751445293426514,0.9901537299156189,0.07216200977563858,0.9601459329992932,0,1.009992003440857,0.721794103551656,-1,1.6465857015805425,407,512
